Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Price,Materials,image_file,image_file_processed
Zenith,Elite,03.2310.679-38.M2310,Elite Ultra Thin Lady Bracelet,"Zenith caliber Elite 679
Hours, Minutes, Seconds",,No,,Sapphire,Open,Round,33.00 mm,8.65 mm,,30.00 m,,White,Matte,Roman Numerals,Dauphine,,,03.2310.679-38.M2310.jpg,processed_03.2310.679-38.M2310.jpg
Zenith,Elite,03.2290.679-11.C493,Elite Classic Stainless Steel / Silver / Alligator,"Zenith caliber Elite 679
Hours, Minutes, Seconds",,No,,Sapphire,Open,Round,39.00 mm,9.45 mm,20.00 mm,50.00 m,,Silver,Sunburst,Roman Numerals,Feuille,"""4900""",,03.2290.679-11.C493.jpg,processed_03.2290.679-11.C493.jpg
Zenith,Defy,95.9002.9004-78.M9000,Defy El Primero 21 Titanium / Skeleton / Bracelet,"Zenith caliber El Primero 9004
Hours, Minutes, Small Seconds | Chronograph | Chronometer, Power Reserve Indicator",2018,No,,Sapphire,Open,Round,44.00 mm,14.50 mm,23.00 mm,100.00 m,,Skeleton,,Stick / Dot,Stick,"""13100""",,95.9002.9004-78.M9000.jpg,processed_95.9002.9004-78.M9000.jpg
Zenith,Defy,95.9002.9004-78.R584,Defy El Primero 21 Titanium / Skeleton / Alligator,"Zenith caliber El Primero 9004
Hours, Minutes, Small Seconds | Chronograph | Chronometer, Power Reserve Indicator",2018,No,,Sapphire,Open,Round,44.00 mm,14.50 mm,23.00 mm,100.00 m,,Skeleton,,Stick / Dot,Stick,"""12100""",,95.9002.9004-78.R584.jpg,processed_95.9002.9004-78.R584.jpg
Zenith,Defy,95.9002.9004-78.R590,Defy El Primero 21 Titanium / Skeleton / Rubber,"Zenith caliber El Primero 9004
Hours, Minutes, Small Seconds | Chronograph | Chronometer, Power Reserve Indicator",2018,No,,Sapphire,Open,Round,44.00 mm,14.50 mm,23.00 mm,100.00 m,,Skeleton,,Stick / Dot,Stick,"""12100""",,95.9002.9004-78.R590.jpg,processed_95.9002.9004-78.R590.jpg
Zenith,El Primero,03.2110.400-22.C493,El Primero Chronograph Black,"Zenith caliber El Primero 400B
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",,No,,Sapphire,Open,Round,42.00 mm,12.00 mm,,50.00 m,,Black,,Stick / Dot,Dauphine,,,03.2110.400-22.C493.jpg,processed_03.2110.400-22.C493.jpg
Zenith,Elite,18.2143.691-01.C498,Elite Moonphase Rose Gold,"Zenith caliber Elite 691
Hours, Minutes, Small Seconds | Big Date | Moonphase",,No,,Sapphire,Open,Round,40.00 mm,10.35 mm,,50.00 m,,Silver,,Stick / Dot,Feuille,,,18.2143.691-01.C498.jpg,processed_18.2143.691-01.C498.jpg
Zenith,El Primero,03.2040.400-21.M2040,El Primero 36.000 VPH Black Bracelet,"Zenith caliber El Primero 400B
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",,No,,Sapphire,Open,Round,42.00 mm,12.75 mm,,100.00 m,,Black,,Stick / Dot,Stick,,,03.2040.400-21.M2040.jpg,processed_03.2040.400-21.M2040.jpg
Zenith,Defy,95.9001.9004-01.R582,Defy El Primero 21 Titanium / Silver Panda / Alligator,"Zenith caliber El Primero 9004
Hours, Minutes, Small Seconds | Chronograph | Chronometer, Power Reserve Indicator",2017 - 2021,No,,Sapphire,Open,Round,44.00 mm,14.50 mm,23.00 mm,100.00 m,,Silver,,Stick / Dot,Stick,"""11100""",,95.9001.9004-01.R582.jpg,processed_95.9001.9004-01.R582.jpg
Zenith,Defy,95.9001.9004-01.R782,Defy El Primero 21 Titanium / Silver Panda / Rubber,"Zenith caliber El Primero 9004
Hours, Minutes, Small Seconds | Chronograph | Chronometer, Power Reserve Indicator",2018 - 2021,No,,Sapphire,Open,Round,44.00 mm,14.50 mm,23.00 mm,100.00 m,Panda,Silver,,Stick / Dot,Stick,"""11100""",,95.9001.9004-01.R782.jpg,processed_95.9001.9004-01.R782.jpg
